fab,factory,date,line,wisdom_batch_id
Fab1,F52,2020/3/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/2/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2021/5/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2021/11/8,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2020/2/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2021/12/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2019/9/15,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2020/5/31,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2021/2/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2021/11/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2021/5/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2021/3/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2021/5/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2021/5/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2020/3/17,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2021/6/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/10/23,0.25,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2020/9/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2020/11/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2021/7/7,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2019/12/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2020/12/13,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2019/6/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2019/4/17,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2020/8/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/7/25,2,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2020/1/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/12/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2021/6/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,�M�M,2019/7/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2019/10/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2019/12/6,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2022/1/8,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/6/21,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2021/12/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/4/14,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/10/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2020/6/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/1/18,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2021/6/5,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2019/9/11,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2021/9/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2020/10/4,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2019/4/11,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F54,2020/4/9,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/5/1,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2020/11/30,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2022/1/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2019/3/11,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2020/5/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2019/5/4,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2022/1/28,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2019/6/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/5/9,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2020/1/20,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/1/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2021/8/3,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/1/21,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/8/19,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/10/8,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/8/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2020/8/14,4,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2021/3/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2019/4/16,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2019/8/9,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F57,2021/10/17,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/2/26,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/1/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2021/8/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2020/2/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2022/1/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/10/22,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/1/30,2.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F52,2019/10/13,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2019/5/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2020/4/7,6,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2021/2/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F64,2021/9/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F60,2019/6/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F54-3,2020/1/21,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA8,2019/1/18,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2021/12/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/2/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F50,2021/7/29,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/10/31,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F62,2020/2/2,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2019/4/19,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F52,2019/9/12,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F58,2020/8/27,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F60,2021/7/25,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2020/6/6,1.25,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,F54,2021/10/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F57,2021/4/5,1,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F56,2019/9/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F50,2019/12/23,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA8,2020/7/6,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab3,F66,2019/7/9,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,LA7,2019/3/24,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab1,F62,2019/10/10,,20220421105654_82141b3b9409484ba9ea5469c0339084
Fab2,LA7,2020/2/11,0.5,20220421105654_82141b3b9409484ba9ea5469c0339084
