meter,type,fab,fab_group,meter_name
DB_MP241(FAB2)2F-TDB-MP1,製程用電,Fab2,Fab12,Fab2棟設備
FFU1-1,空調用電,Fab3,Fab3,FFU（1F無塵室）
DB_MP547(FAB2)ML31,照明插座,Fab2,Fab12,照明
UPS-ZP1-1,製程用電,Fab3,Fab3,1F無塵室設備
DB_MP257(FAB2)2F-TDB-21,製程用電,Fab2,Fab12,Fab2棟設備
MP255,製程用電,Fab2,Fab12,2F設備
2*250空壓機,QE用電,Fab1,Fab12,IQC
MP144,空調用電,Fab2,Fab12,1F空調
DB_MP32(FAB2)CR6,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP22(FAB2)TR-CR2,製程用電,Fab2,Fab12,Fab2棟設備
MP52,空調用電,Fab2,Fab12,4號冰機
DB_MP265(FAB2)DT4,基礎用電,Fab2,Fab12,電梯
ZP1-5,製程用電,Fab3,Fab3,1F無塵室設備
DB_MP534(FAB2)PC3,空調用電,Fab2,Fab12,空調水泵
MP532,空調用電,Fab2,Fab12,6號冰機
MP465,基礎用電,Fab2,Fab12,電池
DB_MP142(FAB2)UPS,製程用電,Fab2,Fab12,UPS
MP357,製程用電,Fab2,Fab12,3F設備
MP284,空調用電,Fab2,Fab12,3F FFU
DB_MP261(FAB2)2F-PDP-MP2,製程用電,Fab2,Fab12,風淋門/烘乾機
MP466,基礎用電,Fab2,Fab12,UPS
MP547,照明插座,Fab2,Fab12,照明
MP254,製程用電,Fab2,Fab12,2F設備
K105(TR2),高壓變壓器,Fab3,Fab3,高壓變壓器2
PC2,空調用電,Fab1,Fab12,PC2
TR3,高壓變壓器,Fab2,Fab12,高壓變壓器
DB_MP551(FAB2)MIS,MIS用電,Fab2,Fab12,MIS
DB_MP351(FAB2)3F-TDB-22,製程用電,Fab2,Fab12,Fab2棟設備
MP443,空調用電,Fab2,Fab12,空調水泵
LP3-2（TR1）維修室照明,空調用電,Fab3,Fab3,製程用電FFU
DB_MP124(FAB2)1F-TDB-06,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP533(FAB2)PC2,空調用電,Fab2,Fab12,空調水泵
MP244,製程用電,Fab2,Fab12,2F設備
MP443（MAU東2層),空調用電,Fab3,Fab3,MAU棟2層
DB_MP133(FAB2)1F-TDB-10,製程用電,Fab2,Fab12,Fab2棟設備
MP555,純水用電,Fab2,Fab12,純水
ZP3-1,製程用電,Fab3,Fab3,3F無塵室設備
TR4,高壓變壓器,Fab2,Fab12,高壓變壓器
DB_MP355(FAB2)3F-TDB-25,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP135(FAB2)CDA3,空壓用電,Fab2,Fab12,Fab2棟3#
MP131,製程用電,Fab2,Fab12,1F設備
DB_MP552(FAB2)3F-TDB-15,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP243(FAB2)2F-TDB-11,製程用電,Fab2,Fab12,Fab2棟設備
DB_MP463(FAB2)EPDP-PV,真空排氣,Fab2,Fab12,真空
MP12,基礎用電,Fab2,Fab12,地下室水泵
照明,照明插座,Fab1,Fab12,照明
MP233,製程用電,Fab2,Fab12,Fab2棟設備
MP454(AHU西側),空調用電,Fab3,Fab3,AHU1~3
2FMP13,空調用電,Fab2,Fab12,2F空調
TR2,高壓變壓器,Fab2,Fab12,高壓變壓器
